Year,NOC,Total,is_host,host_boost,host_boost_log,career_avg,delta_last,gdp_pc,gdp_pc_log,efficiency
2008,AZE,7,0,0.0,0.0,1.5,7.0,5574.46810432575,8.625952184480925,0.8115046142492884
2010,AZE,0,0,0.0,0.0,2.2857142857142856,-7.0,5843.5337683582,8.673090990146315,0.0
2012,AZE,10,0,0.0,0.0,2.0,10.0,7495.86527658099,8.922106851048769,1.1208115041599762
2014,AZE,0,0,0.0,0.0,2.888888888888889,-10.0,7890.84028062087,8.973457907614234,0.0
2016,AZE,18,0,0.0,0.0,2.6,18.0,3880.6852276838,8.263767022097623,2.1781833819694243
2020,AZE,7,0,0.0,0.0,4.0,-11.0,4229.91064904503,8.349936148660023,0.8383297638896727
2024,AZE,7,0,0.0,0.0,4.25,0.0,7283.8499076179,8.893414834871592,0.7870992335309264
1952,BAH,0,0,0.0,0.0,4.461538461538462,0.0,,,
1956,BAH,1,0,0.0,0.0,0.0,1.0,,,
1960,BAH,0,0,0.0,0.0,0.5,-1.0,,,
1964,BAH,1,0,0.0,0.0,0.3333333333333333,1.0,,,
1968,BAH,0,0,0.0,0.0,0.5,-1.0,,,
1972,BAH,0,0,0.0,0.0,0.4,0.0,,,
1976,BAH,0,0,0.0,0.0,0.3333333333333333,0.0,,,
1984,BAH,0,0,0.0,0.0,0.2857142857142857,0.0,,,
1988,BAH,0,0,0.0,0.0,0.25,0.0,,,
1992,BAH,1,0,0.0,0.0,0.2222222222222222,1.0,,,
1996,BAH,1,0,0.0,0.0,0.3,0.0,,,
2000,BAH,3,0,0.0,0.0,0.36363636363636365,2.0,,,
2004,BAH,2,0,0.0,0.0,0.5833333333333334,-1.0,,,
2008,BAH,2,0,0.0,0.0,0.6923076923076923,0.0,,,
2012,BAH,1,0,0.0,0.0,0.7857142857142857,-1.0,,,
2016,BAH,2,0,0.0,0.0,0.8,1.0,,,
2020,BAH,2,0,0.0,0.0,0.875,0.0,,,
1984,BAN,0,0,0.0,0.0,0.9411764705882353,0.0,,,
1988,BAN,0,0,0.0,0.0,0.0,0.0,,,
1992,BAN,0,0,0.0,0.0,0.0,0.0,,,
1996,BAN,0,0,0.0,0.0,0.0,0.0,,,
2000,BAN,0,0,0.0,0.0,0.0,0.0,,,
2004,BAN,0,0,0.0,0.0,0.0,0.0,,,
2008,BAN,0,0,0.0,0.0,0.0,0.0,,,
2012,BAN,0,0,0.0,0.0,0.0,0.0,,,
2016,BAN,0,0,0.0,0.0,0.0,0.0,,,
1968,BAR,0,0,0.0,0.0,0.0,0.0,,,
1972,BAR,0,0,0.0,0.0,0.0,0.0,,,
1976,BAR,0,0,0.0,0.0,0.0,0.0,,,
1984,BAR,0,0,0.0,0.0,0.0,0.0,,,
1988,BAR,0,0,0.0,0.0,0.0,0.0,,,
1992,BAR,0,0,0.0,0.0,0.0,0.0,,,
1996,BAR,0,0,0.0,0.0,0.0,0.0,,,
2000,BAR,1,0,0.0,0.0,0.0,1.0,,,
2004,BAR,0,0,0.0,0.0,0.125,-1.0,,,
2008,BAR,0,0,0.0,0.0,0.1111111111111111,0.0,,,
2012,BAR,0,0,0.0,0.0,0.1,0.0,,,
2016,BAR,0,0,0.0,0.0,0.09090909090909091,0.0,,,
