Name,Sex,NOC,Country,Sport,Event,Medal,Year
OKA Shinnosuke,Male,JPN,Japan,Artistic Gymnastics,Men's Horizontal Bar,Gold Medal,2024
BARAJAS Angel,Male,COL,Colombia,Artistic Gymnastics,Men's Horizontal Bar,Silver Medal,2024
ZHANG Boheng,Male,CHN,China,Artistic Gymnastics,Men's Horizontal Bar,Bronze Medal,2024
TANG Chia-Hung,Male,TPE,Chinese Taipei,Artistic Gymnastics,Men's Horizontal Bar,Bronze Medal,2024
ZOU Jingyuan,Male,CHN,China,Artistic Gymnastics,Men's Parallel Bars,Gold Medal,2024
KOVTUN Illia,Male,UKR,Ukraine,Artistic Gymnastics,Men's Parallel Bars,Silver Medal,2024
OKA Shinnosuke,Male,JPN,Japan,Artistic Gymnastics,Men's Parallel Bars,Bronze Medal,2024
D'AMATO Alice,Female,ITA,Italy,Artistic Gymnastics,Women's Balance Beam,Gold Medal,2024
ZHOU Yaqin,Female,CHN,China,Artistic Gymnastics,Women's Balance Beam,Silver Medal,2024
ESPOSITO Manila,Female,ITA,Italy,Artistic Gymnastics,Women's Balance Beam,Bronze Medal,2024
ANDRADE Rebeca,Female,BRA,Brazil,Artistic Gymnastics,Women's Floor Exercise,Gold Medal,2024
BILES Simone,Female,USA,United States,Artistic Gymnastics,Women's Floor Exercise,Silver Medal,2024
BARBOSU Ana,Female,ROU,Romania,Artistic Gymnastics,Women's Floor Exercise,Bronze Medal,2024
DUPLANTIS Armand,Male,SWE,Sweden,Athletics,Men's Pole Vault,Gold Medal,2024
KENDRICKS Sam,Male,USA,United States,Athletics,Men's Pole Vault,Silver Medal,2024
KARALIS Emmanouil,Male,GRE,Greece,Athletics,Men's Pole Vault,Bronze Medal,2024
CHEBET Beatrice,Female,KEN,Kenya,Athletics,Women's 5000m,Gold Medal,2024
KIPYEGON Faith,Female,KEN,Kenya,Athletics,Women's 5000m,Silver Medal,2024
HASSAN Sifan,Female,NED,Netherlands,Athletics,Women's 5000m,Bronze Medal,2024
HODGKINSON Keely,Female,GBR,Great Britain,Athletics,Women's 800m,Gold Medal,2024
DUGUMA Tsige,Female,ETH,Ethiopia,Athletics,Women's 800m,Silver Medal,2024
MORAA Mary,Female,KEN,Kenya,Athletics,Women's 800m,Bronze Medal,2024
ALLMAN Valarie,Female,USA,United States,Athletics,Women's Discus Throw,Gold Medal,2024
FENG Bin,Female,CHN,China,Athletics,Women's Discus Throw,Silver Medal,2024
ELKASEVIC Sandra,Female,CRO,Croatia,Athletics,Women's Discus Throw,Bronze Medal,2024
AXELSEN Viktor,Male,DEN,Denmark,Badminton,Men's Singles,Gold Medal,2024
VITIDSARN Kunlavut,Male,THA,Thailand,Badminton,Men's Singles,Silver Medal,2024
